	Liked	Review
884	0	three differ occas ask well done medium well three time got bloodiest piec meat plate
885	0	two bite refus eat anymor
886	0	servic extrem slow
887	0	minut wait got tabl
888	1	serious killer hot chai latt
889	0	allergi warn menu waitress absolut clue meal contain peanut
890	1	boyfriend tri mediterranean chicken salad fell love
891	1	rotat beer tap also highlight place
892	0	price bit concern mellow mushroom
893	0	worst thai ever
894	1	stay vega must get breakfast least
895	1	want first say server great perfect servic
896	1	pizza select good
897	1	strawberri tea good
898	0	highli unprofession rude loyal patron
899	1	overal great experi
900	0	spend money elsewher
901	1	regular toast bread equal satisfi occasion pat butter mmmm
902	0	buffet bellagio far anticip
903	0	drink weak peopl
904	0	order correct
905	0	also feel like chip bought made hous
906	0	disappoint dinner went elsewher dessert
907	1	chip sal amaz
908	0	return
909	1	new fav vega buffet spot
910	0	serious cannot believ owner mani unexperienc employe run around like chicken head cut
911	0	sad
912	0	felt insult disrespect could talk judg anoth human like
913	0	call steakhous properli cook steak understand
914	0	impress concept food
915	0	thing crazi guacamol like pur ed
916	0	realli noth postino hope experi better
917	0	got food poison buffet
918	0	brought fresh batch fri think yay someth warm
919	0	hilari yummi christma eve dinner rememb biggest fail entir trip us
920	0	needless say go back anytim soon
921	0	place disgust
922	1	everi time eat see care teamwork profession degre
923	0	ri style calamari joke
924	0	howev much garlic fondu bare edibl
925	0	could bare stomach meal complain busi lunch
926	0	bad lost heart finish
927	0	also took forev bring us check ask
928	0	one make scene restaur get definit lost love one
929	0	disappoint experi
930	0	food par denni say good
931	0	want wait mediocr food downright terribl servic place
932	0	waaaaaayyyyyyyyyi rate say
933	0	go back
934	0	place fairli clean food simpli worth
935	0	place lack style
936	0	sangria half glass wine full ridicul
937	0	bother come
938	0	meat pretti dri slice brisket pull pork
939	0	build seem pretti neat bathroom pretti trippi eat
940	0	equal aw
941	0	probabl hurri go back
942	0	slow seat even reserv
943	0	good stretch imagin
944	0	cashew cream sauc bland veget undercook
945	0	chipolt ranch dip saus tasteless seem thin water heat
946	0	bit sweet realli spici enough lack flavor
947	0	disappoint
948	0	place horribl way overpr
949	0	mayb vegetarian fare twice thought averag best
950	0	busi know
951	0	tabl outsid also dirti lot time worker alway friendli help menu
952	0	ambianc feel like buffet set douchey indoor garden tea biscuit
953	0	con spotti servic
954	0	fri hot neither burger
955	0	came back cold
956	0	food came disappoint ensu
957	0	real disappoint waiter
958	0	husband said rude even apolog bad food anyth
959	0	reason eat would fill night bing drink get carb stomach
960	0	insult profound deuchebaggeri go outsid smoke break serv solidifi
961	0	someon order two taco think may part custom servic ask combo ala cart
962	0	quit disappoint although blame need place door
963	0	rave review wait eat disappoint
964	0	del taco pretti nasti avoid possibl
965	0	hard make decent hamburg
966	0	like
967	0	hell go back
968	0	gotten much better servic pizza place next door servic receiv restaur
969	0	know big deal place back ya
970	0	immedi said want talk manag want talk guy shot firebal behind bar
971	0	ambianc much better
972	0	unfortun set us disapppoint entre
973	0	food good
974	0	server suck wait correct server heimer suck
975	0	happen next pretti put
976	0	bad caus know famili own realli want like place
977	0	overpr get
978	0	vomit bathroom mid lunch
979	0	kept look time soon becom minut yet still food
980	0	place eat circumst would ever return top list
981	0	start tuna sashimi brownish color obvious fresh
982	0	food averag
983	0	sure beat nacho movi would expect littl bit come restaur
984	0	ha long bay bit flop
985	0	problem charg sandwich bigger subway sub offer better amount veget
986	0	shrimp unwrap live mile brushfir liter ice cold
987	0	lack flavor seem undercook dri
988	0	realli impress place close
989	0	would avoid place stay mirag
990	0	refri bean came meal dri crusti food bland
991	0	spend money time place els
992	0	ladi tabl next us found live green caterpillar salad
993	0	present food aw
994	0	tell disappoint
995	0	think food flavor textur lack
996	0	appetit instantli gone
997	0	overal impress would go back
998	0	whole experi underwhelm think go ninja sushi next time
999	0	wast enough life pour salt wound draw time took bring check
